cheese,url,milk,country,region,family,type,texture,rind,color,flavor,aroma,vegetarian,vegan,producers
Alex James Co. No 4 Goats',https://www.cheese.com/alex-james-co-no-4-goats/,goat,United Kingdom,Wisconsin,Cottage,fresh soft,"smooth, springy",natural,pale white,creamy,rich,No,No,Sartori
Alex James Co. No 5 Grunge,https://www.cheese.com/alex-james-co-no-5-grunge/,cow,United Kingdom,Wisconsin,Blue,"soft, semi-soft, organic","creamy, soft",washed,orange,creamy,rich,No,No,Sartori
Alisia-Victoria,https://www.cheese.com/alisia-victoria/,cow,Switzerland,Wisconsin,Cheddar,firm,smooth,natural,golden yellow,buttery,nutty,No,No,Eyeweid
Allgauer Emmentaler,https://www.cheese.com/allgauer-emmentaler/,cow,Germany,Swabia,Gouda,hard,firm,natural,yellow,nutty,pungent,False,False,Sartori
Allium Piper,https://www.cheese.com/allium-piper/,goat,Australia,South Australia,Mozzarella,"fresh soft, artisan","creamy, soft",natural,white,"garlicky, spicy","fresh, garlicky, spicy",True,False,Woodside Cheese Wrights
Alma Vorarlberger Alpkäse (3-5 months),https://www.cheese.com/alma-vorarlberger-alpkase-3-5-months/,cow,Austria,Vorarlberg,Cheddar,"hard, artisan",firm,natural,yellow,"mild, spicy","mild, spicy",False,False,Rupp AG
Alma Vorarlberger Alpkäse (6-9 months),https://www.cheese.com/alma-vorarlberger-alpkase-6-9-months/,cow,Austria,Vorarlberg,Cheddar,"hard, artisan",firm,natural,yellow,"spicy, strong","spicy, strong",False,False,Rupp AG
Alma Vorarlberger Bergkäse (10 months),https://www.cheese.com/alma-vorarlberger-bergkase-10-months/,cow,Austria,"Bregenzerwald, Kleinwalsertal, Großwalsertal, Laiblachtal (Pfänderstock) and Rheintal",Cheddar,"hard, artisan","brittle, firm, flaky, open",natural,yellow,"piquant, spicy, strong, tangy","aromatic, strong",False,False,Rupp AG
Alma Vorarlberger Bergkäse (12 months),https://www.cheese.com/alma-vorarlberger-bergkase-12-months/,cow,Austria,"Bregenzerwald, Kleinwalsertal, Großwalsertal, Laiblachtal (Pfänderstock) and Rheintal",Cheddar,"hard, artisan","brittle, firm, flaky, open",natural,yellow,"piquant, spicy, strong, tangy","aromatic, strong",False,False,Rupp AG
Alma Vorarlberger Bergkäse (6 months),https://www.cheese.com/alma-vorarlberger-bergkase-6-months/,cow,Austria,"Bregenzerwald, Kleinwalsertal, Großwalsertal, Laiblachtal (Pfänderstock) and Rheintal",Cheddar,"hard, artisan","firm, open, supple",natural,cream,"piquant, spicy, tangy",aromatic,False,False,Rupp AG
Almnäs Tegel,https://www.cheese.com/almnas-tegel/,cow,Sweden,Västra Götaland,Blue,"hard, smear-ripened","open, smooth",washed,straw,"caramel, fruity, nutty","fruity, sweet",False,False,Almnäs Bruk
Alpe di Frabosa,https://www.cheese.com/alpe-di-frabosa/,cow,Italy,Wisconsin,Cheddar,semi-soft,creamy,natural,white,bitter,"milky, mushroom",False,False,Sartori
Alpha Tolman,https://www.cheese.com/alpha-tolman/,cow,United States,"Greensboro, VT",Swiss Cheese,"semi-hard, artisan","dense, elastic, smooth",washed,yellow,"buttery, caramel, fruity, full-flavored, nutty","fruity, nutty",No,No,Jasper Hill Farm
Alpicrème,https://www.cheese.com/alpicreme/,goat,France,Wisconsin,Brie,soft,creamy,natural,white,creamy,rich,False,False,Sartori
Alpine Gold,https://www.cheese.com/alpine-gold/,cow,Canada,British Columbia,Mozzarella,"semi-soft, brined",supple,washed,cream,"floral, grassy, savory","earthy, floral, rich",False,False,The Farm House Natural Cheeses
Alpkäse,https://www.cheese.com/alpkase/,cow,Switzerland,Wisconsin,Gouda,hard,dense,natural,golden yellow,herbaceous,rich,False,False,Jumi
Alps Rebel,https://www.cheese.com/alps-rebel/,cow,Austria,Sulzberg,Cheddar,"semi-hard, artisan","creamy, open",natural,yellow,"buttery, citrusy, milky, piquant","fruity, lactic, milky, nutty",No,No,Sulzberger Käserebellen Sennerei GmbH
Alta Badia,https://www.cheese.com/alta-badia/,cow,Italy,Wisconsin,Cheddar,semi-soft,firm,natural,white,"milky, sharp, tangy",rich,False,False,Mila LATTE MONTAGNA ALTO ADIGE
Alverca,https://www.cheese.com/alverca/,"goat, sheep",Portugal,Wisconsin,Cheddar,semi-hard,creamy,natural,white,creamy,rich,False,False,Sartori
Amablu Blue cheese,https://www.cheese.com/amablu-blue-cheese/,cow,United States,Wisconsin,Blue,"semi-soft, artisan, blue-veined",crumbly,natural,white,tangy,rich,False,False,Caves of Faribault
Amalthée,https://www.cheese.com/amalthee/,goat,France,Charentes-Poitou,Brie,"soft, soft-ripened",creamy,bloomy,white,"grassy, mild, sweet","goaty, grassy, mild, sweet",False,False,Sartori
Amarelo de Beira Baixa,https://www.cheese.com/amarelo-de-beira-baixa/,"goat, sheep",Portugal,Beira Baixa Province,Blue,"semi-firm, artisan",creamy,natural,yellow,acidic,rich,False,False,Sartori
Ameribella,https://www.cheese.com/ameribella/,cow,United States,Indiana,Pecorino,"semi-soft, artisan","creamy, runny, smooth, spreadable",washed,straw,"mushroomy, salty, savory, sweet","earthy, grassy, lactic",No,No,Jacobs & Brichford Farmstead Cheese
American Cheese,https://www.cheese.com/american-cheese/,cow,United States,Wisconsin,Swiss Cheese,"semi-soft, processed",smooth,rindless,yellow,creamy,mild,False,False,Sartori
Ami du Chambertin,https://www.cheese.com/ami-du-chambertin/,cow,France,"Gevrey-Chambertin, Burgundy",Blue,"semi-soft, artisan, brined",smooth,washed,white,"buttery, sharp",rich,False,False,Sartori
Amish Frolic,https://www.cheese.com/amish-frolic/,cow,United States,"Milford, NJ",Cheddar,"hard, artisan","flaky, open",natural,pale yellow,"grassy, nutty, sweet",grassy,False,False,Bobolink Dairy
Amou,https://www.cheese.com/amou/,sheep,France,"Amou, Gascony",Cheddar,firm,creamy,natural,golden yellow,creamy,rich,False,False,Sartori
Amsterdammer (British Columbia),https://www.cheese.com/amsterdammer-british-columbia/,Unknown,Canada,"Comox Valley, Vancouver Island",Blue,"semi-soft, firm","buttery, creamy",natural,pale yellow,"buttery, creamy","aromatic, buttery",False,False,Natural Pastures Cheese Company
Amul Cheese Spread,https://www.cheese.com/amul-cheese-spread/,cow,India,Gujarat,Cheddar,"soft, processed","creamy, spreadable",natural,white,"creamy, salty, savory, spicy",rich,True,False,Gujarat Cooperative Milk Marketing Federation (Amul)
Amul Emmental,https://www.cheese.com/amul-emmental/,cow,India,Gujarat,Swiss Cheese,semi-hard,"firm, open",artificial,yellow,sweet,nutty,True,False,Gujarat Cooperative Milk Marketing Federation (Amul)
Amul Gouda,https://www.cheese.com/amul-gouda/,cow,India,Gujarat,Gouda,semi-hard,"compact, dense, firm, springy",plastic,yellow,"fruity, sweet",mild,True,False,Gujarat Cooperative Milk Marketing Federation (Amul)
Amul Pizza Mozzarella Cheese,https://www.cheese.com/amul-pizza-mozzarella-cheese/,cow,India,Gujarat,Mozzarella,"semi-soft, processed","elastic, stringy",artificial,yellow,salty,pleasant,True,False,Gujarat Cooperative Milk Marketing Federation (Amul)
Amul Processed Cheese,https://www.cheese.com/amul-processed-cheese/,"cow, water buffalo",India,Gujarat,Cheddar,"hard, processed","crumbly, dense",artificial,yellow,"buttery, creamy, salty",rich,True,False,Gujarat Cooperative Milk Marketing Federation (Amul)
Anari,https://www.cheese.com/anari/,"goat, sheep",Cyprus,island wide,Cottage,"fresh soft, hard, artisan","brittle, creamy, flaky",natural,white,"creamy, mild, salty",rich,No,No,Sartori
Anejo Enchilado,https://www.cheese.com/anejo-enchilado/,"cow, goat",Mexico,Wisconsin,Cheddar,semi-hard,"crumbly, firm",natural,white,"salty, sharp, spicy, strong",strong,False,False,Sartori
Anneau du Vic-Bilh,https://www.cheese.com/anneau-du-vic-bilh/,goat,France,Pyrenees-Atlantiques,Cottage,"soft, artisan","creamy, smooth",natural,white,"acidic, nutty, salty, smokey","earthy, nutty, smokey",False,False,Sartori
Anniversary Ale Cheddar,https://www.cheese.com/anniversary-ale-cheddar/,cow,United States,Northwest,Cheddar,"semi-hard, artisan","dense, firm",natural,white,"creamy, mild, sweet","floral, fruity",True,False,Rogue Creamery
Anster,https://www.cheese.com/anster/,cow,Scotland,Fife,Cheddar,"semi-hard, artisan","crumbly, dry",natural,ivory,milky,"milky, rich",No,No,St Andrews Farmhouse Cheese Company
Anthotyro,https://www.cheese.com/anthotyro/,"goat, sheep",Greece,"Macedonia, Thrace, Thessalia, Peloponissos, Ionian Islands, Aegean islands, Crete Island and Epirus",Blue,"hard, whey",crumbly,natural,white,"salty, tangy",strong,No,No,Sartori
Anthotyro Fresco,https://www.cheese.com/anthotyro-fresco/,"goat, sheep",Greece,"Macedonia, Thrace, Thessalia, Peloponissos, Ionian Islands, Aegean islands, Crete Island and Epirus",Feta,"semi-soft, whey","creamy, smooth",rindless,white,sweet,rich,No,No,Sartori
Aphrodite Goat Milk Halloumi,https://www.cheese.com/aphrodite-haloumi/,goat,Cyprus,Wisconsin,Pecorino,"semi-soft, artisan",soft,rindless,white,"lemony, tangy",strong,No,No,Sartori
Appalachian,https://www.cheese.com/appalachian/,cow,United States,Virginia,Tomme,"semi-soft, artisan",firm,mold ripened,white,"buttery, lemony, mushroomy","earthy, grassy, lactic",No,No,Meadow Creek Dairy
Appenzeller,https://www.cheese.com/appenzeller/,cow,Switzerland,Wisconsin,Cheddar,"hard, artisan",firm,washed,white,"fruity, nutty",strong,No,No,Sartori
Apple Walnut Smoked,https://www.cheese.com/apple-walnut-smoked/,cow,United States,Utah,Cheddar,"hard, artisan","creamy, smooth",natural,yellow,"nutty, smokey , sweet","nutty, smokey, sweet",True,False,Beehive Cheese Company
Appleby's Double Gloucester,https://www.cheese.com/applebys-double-gloucester/,cow,"England, Great Britain, United Kingdom",Gloucestershire,Cheddar,"hard, artisan","crumbly, dense, firm, flaky, smooth",natural,golden yellow,"mellow, milky, nutty, subtle, tangy","subtle, sweet",True,False,Appleby's
Applewood,https://www.cheese.com/applewood/,cow,"England, Great Britain, United Kingdom",Somerset,Cheddar,semi-hard,"crumbly, dense",natural,yellow,"smokey , spicy",smokey,True,False,Ilchester Cheese Company
Applewood Smoked Chevre,https://www.cheese.com/applewood-smoked-chevre/,goat,United States,Colorado,Pecorino,"semi-soft, artisan","creamy, crumbly, firm",rindless,white,subtle,woody,True,False,Haystack Mountain Creamery
Aragon,https://www.cheese.com/aragon/,Unknown,Spain,Wisconsin,Blue,"semi-hard, artisan",creamy,natural,white,creamy,rich,No,No,Sartori
Ardi Gasna,https://www.cheese.com/ardi-gasna/,sheep,France,Midi-Pyrénées,Cheddar,"hard, artisan","firm, supple",washed,pale yellow,"mild, nutty, sharp",fresh,False,False,Sartori
Ardrahan,https://www.cheese.com/ardrahan/,cow,Ireland,Duhallow,Mozzarella,"semi-soft, brined","chalky, smooth",washed,yellow,"acidic, buttery, nutty","earthy, pungent",True,False,Ardrahan Dairy Products Ltd.
Ardsallagh Hard Goat's Cheese,https://www.cheese.com/ardsallagh-hard-goats-cheese/,goat,Ireland,Carrigtwohill,Cheddar,"semi-hard, artisan","firm, smooth",natural,white,"nutty, salty, smooth",rich,True,False,Ardsallagh Goats Farm
Ardsallagh Smoked Cheese,https://www.cheese.com/ardsallagh-smoked-cheese/,goat,Ireland,Carrigtwohill,Cheddar,"semi-hard, artisan","firm, smooth",natural,white,"mild, nutty, smokey , sweet",rich,True,False,Ardsallagh Goats Farm
Ardsallagh Soft Goat's Cheese,https://www.cheese.com/ardsallagh-soft-goats-cheese/,Unknown,United States,Carrigtwohill,Blue,"semi-hard, artisan",creamy,natural,white,creamy,rich,True,False,Ardsallagh Goats Farm
Armenian String Cheese,https://www.cheese.com/armenian-string-cheese/,"cow, goat, sheep",Armenia,Wisconsin,Cheddar,semi-soft,"creamy, smooth, springy",natural,white,mild,rich,No,No,Sartori
Aromes au Gene de Marc,https://www.cheese.com/aromes-au-gene-de-marc/,"cow, goat",France,Rhône-Alpes,Pecorino,"semi-soft, artisan","creamy, flaky",natural,white,strong,"fermented, pungent",False,False,Sartori
Arådalen,https://www.cheese.com/aradalen/,cow,Sweden,Oviken,Blue,"soft, artisan, blue-veined",creamy,mold ripened,ivory,sweet,rich,No,No,Oviken cheese
Ascutney Mountain,https://www.cheese.com/ascutney-mountain/,cow,United States,Vermont,Swiss Cheese,"hard, artisan","chewy, dense",natural,white,"mild, nutty, sweet","herbal, sweet",True,False,Cobb Hill Farm
Asher Blue,https://www.cheese.com/asher-blue/,cow,United States,Georgia,Blue,"semi-soft, blue-veined","creamy, crumbly",natural,straw,"grassy, milky, mushroomy, salty, sweet, tangy","earthy, rich, strong",True,False,Sweet Grass Dairy
Ashley,https://www.cheese.com/ashley/,cow,United States,Colorado,Brie,"soft, artisan, soft-ripened","creamy, soft",ash coated,cream,sweet,rich,No,No,MouCo Cheese Company
Asiago DOP,https://www.cheese.com/asiago/,cow,Italy,"Veneto, Trentino",Gouda,hard,"compact, crumbly, open, smooth",natural,yellow,"full-flavored, milky, sharp",pungent,False,False,Sartori
Asiago d’Allevo DOP,https://www.cheese.com/asiago-dallevo/,cow,Italy,Veneto,Gouda,hard,compact,natural,pale yellow,savory,"pleasant, yeasty",False,False,Sartori
Asiago Pressato DOP,https://www.cheese.com/asiago-pressato/,cow,Italy,Veneto,Cheddar,semi-soft,"creamy, smooth",natural,white,"nutty, sweet",fresh,False,False,Sartori
Aspen Ash,https://www.cheese.com/aspen-ash/,goat,United States,Colorado,Brie,"soft, soft-ripened",creamy,ash coated,white,"acidic, creamy",earthy,True,False,Haystack Mountain Creamery
Assa,https://www.cheese.com/assa/,goat,United States,"Tomales, California",Blue,"semi-hard, artisan",creamy,natural,white,creamy,rich,No,No,Tomales Farmstead Creamery
Aubisque Pyrenees,https://www.cheese.com/aubisque-pyrenees/,"cow, sheep",France,Béarnaise in Pyrénées-Atlantique,Cheddar,semi-hard,smooth,natural,white,"mild, smooth",rich,False,False,Sartori
Auld Lochnagar,https://www.cheese.com/auld-lochnagar/,cow,Scotland,Wisconsin,Gouda,hard,"compact, crumbly",natural,orange,"grassy, mellow, subtle, tangy",mild,No,No,The Cambus O’May Cheese Company
Auld Reekie,https://www.cheese.com/auld-reekie/,cow,Scotland,Wisconsin,Gouda,hard,"buttery, compact, crumbly",natural,orange,"smokey , tangy, woody","fruity, smokey, woody",False,False,The Cambus O’May Cheese Company
Aura,https://www.cheese.com/aura/,cow,Finland,Äänekoski,Blue,"semi-soft, blue-veined",creamy,mold ripened,pale yellow,"salty, sharp, strong, tangy",rich,False,False,Valio
Austrian Alps cheese,https://www.cheese.com/austrian-alps/,cow,Switzerland,Wisconsin,Blue,"semi-hard, artisan",smooth,natural,white,"nutty, spicy","aromatic, nutty, spicy",False,False,Sartori
Autun,https://www.cheese.com/autun/,"cow, goat",France,Burgundy,Mozzarella,"fresh soft, artisan",creamy,rindless,white,acidic,rich,False,False,Sartori
Avaxtskyr,https://www.cheese.com/avaxtskyr/,cow,Iceland,Wisconsin,Cottage,fresh soft,creamy,natural,white,creamy,rich,True,False,Sartori
Avonlea Clothbound Cheddar,https://www.cheese.com/avonlea-clothbound-cheddar/,cow,Canada,Prince Edward Island,Cheddar,"hard, artisan","creamy, crumbly, firm",cloth wrapped,straw,"fruity, mushroomy, savory",rich,True,False,COWS Inc.
Azeitao,https://www.cheese.com/azeitao/,sheep,Portugal,"Setubal, Palmela and Sesimbra",Pecorino,"semi-soft, artisan","creamy, supple",washed,pale yellow,"herbaceous, salty, sour",rich,True,False,Sartori
Baby Brie,https://www.cheese.com/baby-brie/,cow,France,Wisconsin,Brie,soft,creamy,bloomy,cream,"creamy, mild",aromatic,False,False,Sartori
Baby Swiss,https://www.cheese.com/baby-swiss/,cow,United States,"Charm, Ohio",Swiss Cheese,"semi-soft, processed","creamy, open, smooth",rindless,pale yellow,"nutty, sharp, sweet",rich,False,False,Guggisberg Cheese
Babybel,https://www.cheese.com/babybel/,cow,France,Wisconsin,Cheddar,semi-hard,smooth,waxed,white,creamy,rich,No,No,Sartori
Bad Axe,https://www.cheese.com/bad-axe/,sheep,United States,Wisconsin,Cheddar,"semi-hard, artisan","creamy, firm, smooth",waxed,white,"creamy, smooth, tart",fresh,True,False,Hidden Springs Company
Baguette Laonnaise,https://www.cheese.com/baguette-laonnaise/,cow,France,Ile-de-France/Champagne,Brie,"soft, artisan","open, supple",washed,pale yellow,spicy,pungent,False,False,Sartori
Baita Friuli,https://www.cheese.com/baita-friuli/,cow,Italy,Friuli-Venezia Giulia,Cheddar,firm,compact,natural,pale yellow,"fruity, spicy",rich,False,False,Sartori
Baladi,https://www.cheese.com/baladi/,"cow, goat, sheep","Lebanon, Middle East",Wisconsin,Mozzarella,"fresh soft, artisan","creamy, dense, smooth",rindless,white,"buttery, mild, salty, sweet",fresh,False,False,Sartori
Balaton,https://www.cheese.com/balaton/,cow,Hungary,Wisconsin,Cheddar,semi-hard,firm,natural,pale yellow,"acidic, mild",rich,False,False,Sartori
Balfour,https://www.cheese.com/balfour/,sheep,New Zealand,Queenstown,Gouda,hard,"crumbly, flaky, grainy",natural,white,"nutty, sweet",rich,False,False,The Gibbston Valley Cheese Company
Baluchon,https://www.cheese.com/baluchon/,cow,Canada,Quebec,Cheddar,semi-soft,creamy,washed,ivory,"acidic, creamy, earthy, salty","earthy, mild",False,False,Fromageries Jonathan
Bandal,https://www.cheese.com/bandal/,cow,India,West Bengal,Cottage,"semi-soft, artisan",crumbly,rindless,white,"salty, smokey , strong",strong,True,False,Sartori
Banon,https://www.cheese.com/banon/,goat,France,Banon,Brie,"soft, artisan","creamy, smooth",leaf wrapped,white,"fruity, mild",earthy,No,No,Sartori
Barambah Organics Marinated Feta,https://www.cheese.com/barambah-organics-marinated-feta/,cow,Australia,Brisbane,Feta,fresh soft,"creamy, crumbly, springy",rindless,white,"herbaceous, mild, milky","herbal, mild, milky",True,False,Barambah Organics Pty Ltd.
Barber's 1833,https://www.cheese.com/barbers-1833/,cow,England,Wisconsin,Cheddar,hard,creamy,natural,white,"sweet, tangy",rich,True,False,AJ & RE Barber Ltd
Barberey,https://www.cheese.com/barberey/,cow,France,"Troyes , Aube",Brie,soft,"dry, smooth, soft",natural,white,"pungent, woody",mild,False,False,Sartori
Barden Blue,https://www.cheese.com/barden-blue/,cow,United States,"West Pawlet, VT",Blue,"semi-hard, artisan, blue-veined","buttery, dense, open",natural,yellow,"mild, nutty, spicy, tangy","barnyardy, herbal",False,False,Consider Bardwell Farm
Barely Buzzed,https://www.cheese.com/barely-buzzed/,cow,United States,Utah,Cheddar,"hard, artisan","creamy, smooth",natural,pale yellow,"butterscotch, caramel","aromatic, rich",True,False,Beehive Cheese Company
Barilotto,https://www.cheese.com/barilotto/,buffalo,Italy,Campania,Brie,"hard, soft-ripened",firm,washed,pale yellow,"creamy, sharp","buttery, fresh",False,False,Casa Madaio
Barlocco,https://www.cheese.com/barlocco/,cow,Scotland,Wisconsin,Cheddar,semi-soft,creamy,natural,blue,full-flavored,strong,True,False,The Ethical Dairy
Baron Bigod,https://www.cheese.com/baron-bigod/,cow,England,Wisconsin,Brie,"soft, artisan","creamy, smooth",natural,white,"buttery, mushroomy","grassy, milky",No,No,Fen Farm Dairy
Baron Bigod Baby Truffle,https://www.cheese.com/baron-bigod-baby-truffle/,cow,England,Wisconsin,Brie,"soft, artisan","creamy, smooth",natural,white,milky,"earthy, mushroom",No,No,Fen Farm Dairy
Baronerosso di Capra,https://www.cheese.com/baronerosso-di-capra/,goat,Italy,Veneto,Cheddar,semi-hard,"crumbly, firm",washed,white,"full-flavored, sharp","fruity, musty",False,False,La Casearia Carpenedo S.r.l.
